"threshold","specificity","sensitivity"
-Inf,0,1
1.5,0.117741842665592,0.998995983935743
2.5,0.26782528629798,0.997590361445783
3.5,0.453242792196582,0.984136546184739
4.5,0.63848765609714,0.896385542168675
5.5,0.751050238821431,0.790763052208835
6.5,0.824538182655234,0.686144578313253
7.5,0.876158140070208,0.584738955823293
8.5,0.919433734246418,0.480722891566265
9.5,0.945445128618289,0.382730923694779
10.5,0.965241411060597,0.296184738955823
11.5,0.977038614260229,0.229718875502008
12.5,0.982505610864936,0.17710843373494
13.5,0.987339586810151,0.140963855421687
14.5,0.990734879438338,0.11004016064257
15.5,0.993324509408989,0.085140562248996
16.5,0.995338666052829,0.0668674698795181
17.5,0.997007538700581,0.0532128514056225
18.5,0.997928296023479,0.0427710843373494
19.5,0.998676411348334,0.0343373493975904
20.5,0.999251884675145,0.0275100401606426
21.5,0.99948207400587,0.0220883534136546
22.5,0.999597168671232,0.0172690763052209
23.5,0.999712263336594,0.0134538152610442
24.5,0.999884905334638,0.0112449799196787
25.5,0.999942452667319,0.00903614457831325
26.5,0.999942452667319,0.0070281124497992
27.5,0.999942452667319,0.00582329317269076
28.5,1,0.00461847389558233
29.5,1,0.0036144578313253
30.5,1,0.0034136546184739
31.5,1,0.00200803212851406
32.5,1,0.00180722891566265
33.5,1,0.00160642570281125
34.5,1,0.00120481927710843
35.5,1,0.00100401606425703
36.5,1,0.000602409638554217
37.5,1,0.000401606425702811
39,1,0.000200803212851406
Inf,1,0
