"","quantile(ewac_ecdf_male, probs = c(seq(0, 0.9, 0.02), seq(0.91, 1, 0.005)))"
"0%",1.185539
"2%",1.185539
"4%",1.185539
"6%",1.185539
"8%",1.185539
"10%",1.654381
"12%",1.91792
"14%",1.970115
"16%",1.970115
"18%",1.970115
"20%",2.874823
"22%",3.138362
"24%",3.190557
"26%",3.256653
"28%",3.979824
"30%",4.242827
"32%",4.242827
"34%",4.242827
"36%",4.477095
"38%",4.477095
"40%",5.200266
"42%",5.326221
"44%",5.463269
"46%",6.199401
"48%",7.185575
"50%",7.801135
"52%",7.898017
"54%",7.898017
"56%",9.021577
"58%",9.118459
"60%",9.118459
"62%",9.952622
"64%",10.840765
"66%",10.840765
"68%",11.502746
"70%",12.408387
"72%",12.89537
"74%",13.628829
"76%",15.111185
"78%",15.164843
"80%",17.212541
"82%",18.107591
"84%",19.428356
"86%",20.524471
"88%",24.573837
"90%",24.748286
"91%",25.794279
"91.5%",25.858661
"92%",26.563948
"92.5%",26.563948
"93%",27.516585
"93.5%",31.027906
"94%",31.412112
"94.5%",31.833756
"95%",31.833756
"95.5%",34.269546
"96%",34.35486
"96.5%",38.672031
"97%",41.745382
"97.5%",51.5473
"98%",59.191425
"98.5%",63.753006
"99%",66.56625
"99.5%",87.968025
"100%",115.9617
