"threshold","specificity","sensitivity"
-Inf,0,1
1.5,0.120353692484035,0.998578333807222
2.5,0.277468478794826,0.996588001137333
3.5,0.477157360406091,0.980096673301109
4.5,0.683887342393974,0.87887404037532
5.5,0.810709022433273,0.752914415695195
6.5,0.889389225478959,0.605345464884845
7.5,0.938676928115278,0.464884845038385
8.5,0.975356148681841,0.322718225760591
9.5,0.993532012444736,0.182541939152687
10.5,0.999099394137875,0.0713676428774524
11.5,0.999672506959227,0.0264429911856696
Inf,1,0
