"threshold","specificity","sensitivity"
-Inf,0,1
1.5,0.118682938815628,0.998859749144812
2.5,0.268490457858957,0.997434435575827
3.5,0.453927430583995,0.982326111744584
4.5,0.639200589728888,0.8942417331813
5.5,0.75149479891883,0.791904218928164
6.5,0.826603325415677,0.683010262257697
7.5,0.8773036284708,0.582383124287343
8.5,0.919649438938488,0.475769669327252
9.5,0.945613891391596,0.378278221208666
10.5,0.96551724137931,0.29133409350057
11.5,0.97739372593988,0.22405929304447
12.5,0.98304529445491,0.172177879133409
13.5,0.988205422229503,0.136830102622577
14.5,0.991072159882054,0.105188141391106
15.5,0.99377508395446,0.080387685290764
16.5,0.995658940126136,0.0618586088939567
17.5,0.997215169137522,0.0490307867730901
18.5,0.997870423458105,0.0413340935005701
19.5,0.998853304938979,0.0339224629418472
20.5,0.999344745679417,0.0265108323831243
21.5,0.99942665246949,0.0222348916761688
22.5,0.999508559259563,0.0176738882554162
23.5,0.999590466049636,0.0131128848346636
24.5,0.999836186419854,0.0108323831242873
25.5,0.999918093209927,0.00855188141391106
26.5,0.999918093209927,0.00655644241733181
27.5,0.999918093209927,0.0048460661345496
28.5,1,0.00370581527936146
30,1,0.00285062713797035
31.5,1,0.00171037628278221
32.5,1,0.00142531356898518
34.5,1,0.00114025085518814
36.5,1,0.000855188141391106
37.5,1,0.000570125427594071
39,1,0.000285062713797035
Inf,1,0
